證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1319","東陽","4786201","571471567","116.50","121.50","115.00","120.00","3.5000","4082"
"1321","大洋","226978","8027331","35.65","35.65","35.20","35.60","-0.3000","123"
"1323","永裕","82070","2056015","24.95","25.15","24.90","25.10","0.1000","30"
"1324","地球","10896","139741","12.75","12.85","12.75","12.85","0.0500","114"
"1325","恆大","568631","17614586","31.00","31.25","30.80","31.10","-0.3000","538"
"1326","台化","20064818","561786280","28.35","28.40","27.70","28.10","-0.7000","7967"
"1337","再生-KY","280696","1887659","6.76","6.81","6.67","6.78","0.0200","329"
"1338","廣華-KY","112894","3384533","29.80","30.15","29.80","30.10","-0.0500","256"
"1339","昭輝","38827","2233413","57.30","57.80","56.90","57.70","0.2000","99"
"1340","勝悅-KY","77973","707738","9.12","9.12","9.01","9.11","-0.0500","191"
"1341","富林-KY","11017","783593","71.00","71.40","71.00","71.40","0.8000","12"
"1342","八貫","315603","34563884","107.50","111.50","106.50","110.00","1.5000","353"
"1402","遠東新","9627901","310388625","32.20","32.60","31.95","32.20","-0.2000","3564"
"1409","新纖","1763000","26600687","15.10","15.25","14.95","15.25","0.0500","773"
"1410","南染","9001","317134","35.05","35.50","35.05","35.50","0.2000","9"
"1413","宏洲","281482","3281604","12.05","12.05","11.25","11.85","-0.1500","140"
"1414","東和","467070","10453185","22.50","22.70","22.10","22.55","0.0500","401"
"1416","廣豐","132600","1690629","12.80","12.85","12.70","12.70","-0.1000","159"
"1417","嘉裕","107402","987520","9.23","9.29","9.15","9.22","-0.0100","208"
"1418","東華","10213","265554","25.90","26.20","25.90","26.20","-0.1000","52"
"1419","新紡","22290","950073","43.10","43.10","42.30","42.85","-0.2500","31"
"1423","利華","2620","98044","37.65","37.65","37.40","37.40","0.5000","67"
"1432","大魯閣","1216236","23689267","18.65","20.30","18.65","19.70","0.8500","1160"
"1434","福懋","1347787","25327629","18.80","18.95","18.70","18.85","-0.2000","1017"
"1435","中福","1067","37347","35.00","35.00","35.00","35.00","0.0000","68"
"1436","華友聯","726774","102956757","142.00","143.00","140.50","142.50","-1.0000","662"
"1437","勤益控","66348","2288678","34.50","34.75","34.30","34.75","0.1500","63"
"1438","三地開發","93616","5033305","53.40","54.20","52.90","54.20","0.1000","64"
"1439","雋揚","15000","494800","33.40","33.40","32.70","32.95","-0.0500","11"
"1440","南紡","822022","12110401","14.85","14.95","14.60","14.95","0.0000","494"
"1441","大東","11953","167519","13.85","14.15","13.80","14.05","0.0000","65"
"1442","名軒","924657","77425059","82.00","85.20","81.00","84.50","1.7000","890"
"1443","立益物流","14582","446657","30.50","30.95","30.50","30.95","0.3500","40"
"1444","力麗","571273","4860022","8.51","8.55","8.46","8.55","-0.0400","478"
"1445","大宇","60061","1022951","17.10","17.20","16.90","17.20","0.0500","49"
"1446","宏和","560621","24783093","43.50","44.90","43.00","44.50","0.8500","401"
"1447","力鵬","749759","5351840","7.16","7.18","7.10","7.17","-0.0400","493"
"1449","佳和","735167","13618974","18.65","18.70","18.20","18.60","-0.1000","535"
"1451","年興","72498","1455532","20.05","20.10","20.05","20.10","0.0500","96"
"1452","宏益","143032","2158011","15.20","15.25","15.00","15.10","-0.2000","367"
"1453","大將","66758","1105817","16.80","16.80","16.30","16.55","-0.4500","122"
"1454","台富","39062","609169","15.35","15.70","15.35","15.65","-0.0500","29"
"1455","集盛","440529","4516317","10.30","10.30","10.20","10.25","-0.1500","254"
"1456","怡華","6037","102510","17.05","17.05","17.00","17.00","-0.0500","14"
"1457","宜進","125743","2567714","20.45","20.45","20.40","20.40","-0.1000","73"
"1459","聯發","1527116","19065128","13.00","13.00","12.10","12.40","-0.3500","733"
"1460","宏遠","435624","3088768","7.11","7.13","7.05","7.09","-0.0500","229"
"1463","強盛新","2944479","85719505","29.90","30.40","28.15","29.60","0.1000","2289"
"1464","得力","2181402","41148937","18.60","19.15","18.60","19.00","0.0500","1044"
"1465","偉全","139351","2009884","14.20","14.55","14.20","14.40","0.0500","116"
"1466","聚隆","63563","846306","13.40","13.40","13.20","13.40","0.0000","68"
"1467","南緯","223063","2327642","10.50","10.50","10.40","10.45","-0.0500","199"
"1468","昶和","46345","635081","13.85","13.95","13.50","13.95","0.0000","46"
"1470","大統新創","16020","367760","22.95","23.00","22.85","22.85","-0.1500","7"
"1471","首利","187891","2389442","12.85","12.85","12.55","12.85","0.0000","268"
"1472","三洋實業","592869","44989793","74.60","76.50","74.40","75.90","-0.1000","38"
"1473","台南","169131","6367722","37.90","38.00","37.25","37.90","-0.1000","147"
"1474","弘裕","849805","11958625","13.25","14.50","13.25","14.30","1.0500","479"
"1475","業旺","31000","1814800","58.30","58.70","58.30","58.60","0.0000","27"
"1476","儒鴻","1020189","527727238","506.00","526.00","501.00","522.00","5.0000","1083"
"1477","聚陽","1842140","704679140","382.00","386.00","376.00","384.00","-1.0000","1867"
"1503","士電","2030139","362395757","179.00","182.50","174.50","182.00","0.5000","2307"
"1504","東元","1981097","107162384","53.30","54.70","53.20","54.30","0.4000","1479"
"1506","正道","48527","630528","13.00","13.10","12.90","13.05","-0.0500","39"
"1512","瑞利","7077","50208","7.09","7.10","7.09","7.10","0.0000","73"
"1513","中興電","5883553","864230100","147.00","148.50","145.00","148.00","-1.0000","6323"
"1514","亞力","5011835","544500293","108.00","111.50","107.00","108.00","-2.5000","4023"
"1515","力山","415029","15144263","36.55","36.65","36.00","36.60","-0.1500","522"
"1516","川飛","37298","640058","17.10","17.35","16.95","17.30","0.1500","145"
"1517","利奇","119938","1716498","14.40","14.40","14.25","14.30","-0.1500","204"
"1519","華城","4833565","2931432193","608.00","617.00","597.00","610.00","-1.0000","6954"
"1521","大億","74600","2179123","29.00","29.75","28.60","29.45","0.2000","119"
"1522","堤維西","2022085","128122772","63.10","64.50","62.30","64.50","1.1000","1416"
"1522A","堤維西甲特","1000","49000","49.00","49.00","49.00","49.00","0.0000","1"
"1524","耿鼎","1068451","39354083","36.65","37.30","36.40","37.20","0.4000","818"
"1525","江申","9080","536222","59.30","59.70","58.50","59.00","-0.6000","19"
"1526","日馳","19435","493590","25.35","25.75","25.30","25.35","-0.0500","152"
"1527","鑽全","274732","12033342","43.70","44.15","43.55","44.15","0.1500","310"
"1528","恩德","31228064","562413887","17.95","18.70","17.35","17.45","-0.5000","13795"
"1529","樂事綠能","396065","9729092","24.55","25.20","24.05","24.80","0.0500","305"
"1530","亞崴","126425","4161124","32.50","33.30","32.00","33.05","0.5500","147"
"1531","高林股","90158","1283890","14.10","14.35","14.10","14.30","-0.0500","97"
"1532","勤美","1181475","37920653","32.00","32.50","31.60","32.40","0.3000","559"
"1533","車王電","33467","1315400","39.60","39.80","38.30","39.80","-0.5000","66"
"1535","中宇","34810","2125001","60.70","61.60","60.70","61.40","0.4000","48"
"1536","和大","24528172","1958558285","78.40","81.60","77.60","79.30","-0.2000","17951"
"1537","廣隆","207747","32156904","155.00","156.50","153.50","156.50","0.5000","215"
"1538","正峰","13133","382882","30.00","30.00","28.65","29.95","0.9500","40"
"1539","巨庭","157450","3806431","24.25","24.55","23.80","24.35","0.0500","119"
"1540","喬福","10582167","416221946","38.95","40.45","38.15","39.25","1.0000","7000"
"1541","錩泰","4081","115231","28.05","28.35","28.05","28.35","0.1500","12"
"1558","伸興","134907","14921315","111.00","111.50","110.00","111.50","0.5000","272"
"1560","中砂","1800421","466918571","257.00","267.00","251.00","262.00","-1.0000","2160"
"1563","巧新","1702431","112233309","66.10","67.00","64.50","66.70","1.0000","2318"
"1568","倉佑","192504","5445486","28.00","28.70","27.90","28.70","0.7000","121"
"1582","信錦","751639","77903600","103.00","105.00","101.00","104.50","1.0000","789"
"1583","程泰","66648","4245447","63.50","64.80","62.60","64.80","1.3000","115"
"1587","吉茂","179335","6461697","35.70","36.60","35.35","36.35","0.6000","152"
"1589","永冠-KY","405860","15956905","39.70","39.70","39.05","39.30","-0.7000","507"
"1590","亞德客-KY","977990","907114875","935.00","936.00","914.00","925.00","-26.0000","1719"
"1597","直得","1658970","165454893","99.20","102.00","97.40","102.00","2.2000","1493"
"1598","岱宇","328778","10013451","30.60","31.00","30.10","30.35","-0.4500","460"
"1603","華電","86500","3129155","36.05","36.50","35.90","36.45","0.2000","91"
"1604","聲寶","170049","4829655","28.30","28.50","28.25","28.50","0.0500","218"
"1605","華新","38859844","1066953665","27.70","27.90","27.25","27.35","-0.6500","16850"
"1608","華榮","2066789","57588675","27.60","28.20","27.50","27.90","-0.1500","1396"
"1609","大亞","2454176","102900765","41.70","42.45","41.25","42.45","0.4000","1991"
"1611","中電","1032266","16448764","15.80","16.10","15.50","16.10","0.3000","670"
"1612","宏泰","620860","21144891","33.95","34.50","33.75","34.50","0.4500","349"
"1614","三洋電","59023","2344958","39.35","39.90","39.35","39.65","0.0000","40"
"1615","大山","52875","3158405","60.60","60.60","59.10","60.00","0.3000","76"
"1616","億泰","319774","6386721","19.70","20.25","19.65","20.10","0.1000","200"
"1617","榮星","164169","2909209","17.50","17.95","17.40","17.65","-0.0500","155"
"1618","合機","2781403","133274353","47.50","48.80","46.50","48.60","0.6500","1943"
"1626","艾美特-KY","18876","262853","13.90","13.95","13.85","13.90","-0.1000","108"
"1702","南僑","500018","25170445","50.80","50.80","50.00","50.60","-0.4000","501"
"1707","葡萄王","78390","11657155","148.00","149.50","148.00","149.00","-0.5000","200"
"1708","東鹼","4355830","179485793","40.30","42.00","40.15","42.00","1.4500","3451"
"1709","和益","358067","7707242","21.60","21.65","21.40","21.65","0.0500","361"
"1710","東聯","14744725","242778095","16.55","16.80","16.10","16.55","0.3000","5318"
"1711","永光","1477858","30749646","21.10","21.20","20.45","21.15","-0.1000","1027"
"1712","興農","942097","44729619","47.50","47.80","47.00","47.80","0.1000","786"
"1713","國化","51260","2807122","54.50","55.20","54.30","55.20","0.5000","55"
"1714","和桐","731510","6049945","8.25","8.33","8.20","8.33","0.0400","426"
